id,reported_at,neighbourhood,latitude,longitude,severity_iron_marks,weather,reporter_mood,swallowed_object,reporter_quote,citizen_id
174c7898-77c4-4d4f-8418-67f85dd4ccb2,2026-03-08T03:43:26+00:00,Frölunda,57.666759,11.942903,4,snö,lagom,,It does not show up on Google Street View. They were afraid.,cit-02172
3d71b9e9-b35b-4fbf-9304-1e8da7ef4912,2026-03-10T15:38:25+00:00,Gamlestaden,57.72875,12.002401,4,slask,frustrated,tram token,I sang along to ABBA all the way down.,
b2e2c2ee-a0af-457d-a8f8-340a1844ef67,2026-02-23T06:35:48+00:00,Hisingen,57.705237,11.919814,4,dimma,vengeful,,The municipality calls it a 'pavement irregularity'. I call it Carl.,cit-00397
15068344-1cb3-4ef3-aa2d-63f53ef048a9,2026-04-02T08:51:23+00:00,Majorna,57.699249,11.927303,2,regn,philosophical,oat milk carton,I made eye contact with the driver in the other lane. We nodded.,cit-02597
de08baa5-67a7-4e8a-8764-2072ef5d5d94,2026-02-12T12:54:00+00:00,Majorna,57.700814,11.940527,3,dimma,lagom,linen napkin,I file a report annually. We have history.,cit-00124
6eca7332-0612-4674-9e60-ea3683f9bf5f,2026-04-03T16:41:15+00:00,Linné,57.695872,11.959486,2,regn,philosophical,vintage scarf,The cinnamon bun did not survive.,cit-02556
631e31de-181c-430d-ae22-42bf51ebc3c9,2026-04-21T14:16:01+00:00,Majorna,57.69994,11.942482,5,regn,amused,sourdough loaf,I drove to IKEA. The bookshelf returned. The wheels did not.,cit-02747
007de22b-79d6-44c8-a19a-b3a640c38254,2026-04-18T07:17:01+00:00,Centrum,57.714464,11.970916,5,regn,amused,,The chassis sounds like a confused harp.,cit-01774
f8749bc5-74a2-4009-99a4-4cc864382556,2026-04-29T19:22:47+00:00,Annedal,57.695766,11.957507,3,sol,philosophical,thesis chapter,The cinnamon bun did not survive.,cit-02366
b10a36fe-3c6b-4183-8002-e4471673e580,2026-04-22T09:00:06+00:00,Kortedala,57.777927,12.064952,2,slask,frustrated,bicycle pedal,It contains atmospheric conditions.,cit-00955
f7a0925e-9a42-47f9-ad51-d0186aa073bc,2026-03-06T10:47:33+00:00,Majorna,57.69266,11.942479,4,sol,amused,vintage tote,The seatbelt held. Everything else loosened.,cit-02676
913cc92c-06f2-4471-9938-f25500e94989,2026-02-18T07:22:36+00:00,Frölunda,57.655293,11.936577,5,snö,resigned,,I was carrying lutfisk. The lutfisk made it. The car did not.,cit-00536
ac92fc18-4ee8-46c7-a584-593b15df3896,2026-02-14T07:19:42+00:00,Annedal,57.694575,11.949071,5,regn,lagom,bicycle bell,It is on the official Gothenburg map. As a landmark.,cit-01937
051434d4-e75c-4000-8b82-473e9519cacf,2026-03-11T00:28:35+00:00,Kortedala,57.775077,12.066817,2,slask,vengeful,tram ticket,It used to be the parking spot for the bakery van.,cit-01248
ed8e57c0-3465-471c-83a8-e1ccd9a89c9b,2026-02-20T09:53:28+00:00,Linné,57.69394,11.941044,1,regn,philosophical,vintage scarf,The pothole files its own taxes.,cit-02472
350e4211-0524-49d7-888c-3fa64af52404,2026-04-08T12:39:18+00:00,Centrum,57.713267,11.981261,4,regn,resigned,,I feel like the pothole and I are both trying our best.,cit-01740
c6be61c6-baf4-4f12-a2d8-a62343c67e4a,2026-03-25T05:36:50+00:00,Haga,57.707705,11.969188,2,sol,philosophical,tourist postcard,My grandmother fell into a pothole on this exact street in 1962.,cit-01499
80f83951-dd13-4ddb-affb-3cb509829aa3,2026-02-26T18:04:02+00:00,Haga,57.701388,11.962128,2,regn,amused,tourist postcard,"I drove through it gently, as one would a sleeping baby.",cit-01355
8cc8c1c6-03ff-4a36-8a20-6061f11d76c1,2026-03-15T06:47:22+00:00,Frölunda,57.661807,11.956906,3,snö,philosophical,,It is technically a feature now.,cit-00717
b15833fd-19b5-443f-a845-002ce81abbf5,2026-03-03T07:18:26+00:00,Kortedala,57.767225,12.049741,3,snö,frustrated,,The pothole had its own postcode.,cit-00353
237ecfaa-9e33-46e1-be39-9da2e87c28c6,2026-04-23T07:53:44+00:00,Annedal,57.695965,11.947728,3,regn,frustrated,student textbook,The pothole asked for ID.,cit-02107
1be38f05-cf2a-4299-bbcf-a3406c0a1201,2026-04-01T23:13:55+00:00,Haga,57.701593,11.957576,2,dimma,philosophical,tourist postcard,It is on the official Gothenburg map. As a landmark.,
64434e35-deb7-430e-a9e9-4ebacb7cd76c,2026-04-12T08:42:17+00:00,Annedal,57.690228,11.963533,4,regn,philosophical,philosophy notes,My V60 has trauma.,cit-02078
7798b04b-3ad7-46ca-af1b-6aa29270f394,2026-02-19T09:19:41+00:00,Haga,57.708606,11.961557,1,regn,amused,tourist postcard,I respect it. I do not love it.,cit-01500
823ee51e-0657-40af-86f2-57ad45285c82,2026-03-02T13:40:31+00:00,Kortedala,57.778582,12.058263,5,regn,vengeful,bicycle pedal,The Volvo handled it. I did not.,cit-00277
397d82c3-005f-4c01-aa92-e629b1eca11e,2026-05-05T18:05:53+00:00,Haga,57.706556,11.960415,4,dimma,amused,cinnamon bun,It connects to a parallel Gothenburg.,cit-02916
6c858a1f-e1a6-4488-9b38-f4d17ade0957,2026-04-04T07:02:00+00:00,Kortedala,57.763299,12.053379,5,snö,frustrated,bicycle pedal,I turned around. The road did too.,cit-01215
8c46c7a9-ed55-4eac-b085-5680ee9f46ee,2026-02-14T02:02:53+00:00,Gamlestaden,57.72034,11.990426,5,regn,philosophical,,The pothole asked for ID.,cit-00600
07d74af8-e7c2-4ea0-b8cc-ce1cce8cdadf,2026-04-27T08:39:44+00:00,Linné,57.695161,11.953693,3,regn,lagom,second-hand book,The cinnamon bun did not survive.,cit-02492
959b5c76-bb82-4104-a041-17777e066825,2026-02-15T20:50:00+00:00,Hisingen,57.717495,11.868725,5,slask,vengeful,Volvo emblem,It is in the GPS as 'Object of Interest'.,cit-00087
735c31d7-48e6-41cb-8a1b-b3736ef94632,2026-03-15T15:38:09+00:00,Frölunda,57.652664,11.95814,4,regn,resigned,a smaller pothole,I have driven a Volvo since 1991. I have never driven over this pothole.,cit-00898
009adffe-c892-4944-9a6f-602cda511d0e,2026-04-21T06:45:25+00:00,Frölunda,57.664734,11.953378,5,snö,resigned,,I was on a date. We are now married.,cit-00724
16f57de4-4151-4268-b3b2-3687f92a2f3d,2026-03-15T12:01:45+00:00,Hisingen,57.710023,11.879145,5,slask,frustrated,industrial bolt,I have a friend who drives slower because of this exact pothole.,cit-01084
295296df-66eb-48fb-92c5-661703164967,2026-04-26T11:42:42+00:00,Kortedala,57.768326,12.04962,5,snö,frustrated,tram ticket,The trolleybus driver pointed and laughed.,cit-01069
461d8de1-cf09-4b69-bc65-08d5083eb7d1,2026-02-26T05:11:18+00:00,Gamlestaden,57.725413,12.012473,3,snö,frustrated,century-old nail,I am here to report a pothole. I am also here to report a feeling.,cit-02352
e0c59432-1fa7-49da-a62c-1901efa3da45,2026-03-09T10:37:12+00:00,Annedal,57.694078,11.947473,4,regn,philosophical,thesis chapter,The pothole has a Google review. The owner replied.,cit-02046
